# query match x [px],query match y [px],map planet fixed x [m], map planet fixed y [m], map planet fixed z [m]
107.2773818970,735.1802978516,1298521.2408154877,-1076280.7814453272,406066.0794236066
284.8159179688,863.5745239258,1310539.7833319323,-1064839.2628172685,397526.9588770701
303.3196105957,263.0956115723,1303083.7572951121,-1057868.4366289035,438515.1232314397
332.6907958984,877.6854248047,1313235.1807997972,-1061977.0430651938,396277.7958550365
339.2411804199,599.3897705078,1310161.2031109487,-1058586.8482367196,415074.1988739574
369.2522583008,606.8464965820,1311899.7045526181,-1056622.0103378796,414590.5806960940
586.8933715820,481.7562255859,1322798.0553678556,-1039688.3868360431,422696.1127592663
768.8472900391,214.7639617920,1329727.8261078801,-1022794.2906168085,441740.7044288500
785.1044921875,861.8073730469,1338565.6068424850,-1029396.3368020589,397496.8998477322
799.5724487305,236.3098754883,1331760.8133152067,-1020766.5352767864,440307.9234727547
816.7918701172,223.7370452881,1332574.4867974794,-1019496.4899509518,440790.1094128825
818.8138427734,881.1996459961,1340723.5030945116,-1026999.0352298135,396424.4188467522
